Key,English,Russian,Ukrainian
sound,,,
graphics,,,
camera,,,
main-menu,,,
back,,,
quit,,,
master_sound,,,
enviroment,,,
music,,,
voice,,,
effects,,,
mouse-x-sensitive,,,
mouse-y-sensitive,,,
gamepad-x-sensitive,,,
gamepad-y-sensitive,,,
Fullscreen,,,
Screen Resolution,,,
Texture Resolution,,,
anti-aliasing,,,
Render Scale,,,
LOD,,,
post-processing,,,
shadow-distance,,,
shadow-quality,,,
v-sync,,,
